"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Garrison Mathews","Ind","*","G","29.4","15","13.1","14","5.4","23","0.826","6","0.667","46","0.37","0.567","0.628","5.2","1.1","0.7","0.4","0.2","0.2","6.3","5.9","7","4.8","128.2","113.5"
"","Mitchell Robinson","Nyk","*","C-F","27.9","48","19.3","10","16.6","86","0.395","151","0.709","0","0","0.709","0.657","5.2","8.6","1","0.8","1.1","0.6","13.8","6.1","14.7","7.4","149.3","100.9"
"","Jett Howard","Orl","*","G","22.5","43","12.2","17.4","5.5","34","0.941","76","0.5","113","0.345","0.511","0.552","5.2","1.6","0.9","0.2","0.2","0.3","6.8","6.1","7.7","6.4","118","109.3"
"","Drew Eubanks","Sac","*","F-C","29.1","42","13.2","16.2","16.1","57","0.561","149","0.617","7","0.143","0.599","0.605","5.2","3","0.5","0.4","0.6","0.7","8.2","5.7","8.7","6","112.9","113"
"","Jalen Wilson","Bro","*","F","25.3","43","14","16.7","10.6","51","0.745","67","0.388","119","0.378","0.503","0.54","5.2","1.6","0.6","0.4","0","0.5","6.8","5.9","7.4","4.9","105.9","114.1"
"","Amir Coffey","Pho","*","G-F","28.7","10","15","12.4","2.6","13","0.692","21","0.571","16","0.375","0.568","0.597","5.1","2.4","1.1","0.4","0.1","0.1","7.5","6.2","8.6","6.3","140.6","111.8"
"","Johnny Furphy","Ind","*","G","21.3","35","18.4","12.7","16.3","35","0.486","78","0.603","71","0.324","0.547","0.547","5.1","4.4","1.2","0.6","0.2","0.8","9.5","6.3","10.7","6.5","106.9","109.9"
"","Ben Saraf","Bro","*","G","19.9","29","17.3","18.7","28","45","0.8","86","0.43","55","0.236","0.401","0.463","5.1","1.5","2.9","0.7","0.2","1.9","6.6","8.1","9.6","6.5","89.9","116"
"","Josh Okogie","Hou","*","G","27.5","62","18.8","11.5","12.2","59","0.576","115","0.478","143","0.399","0.545","0.555","5.1","2.7","0.8","0.9","0.2","0.6","7.8","5.9","8.6","4.7","119","109.5"
"","Mo Bamba","Uta","*","C","27.8","2","19","12","18.2","0","0","9","0.556","0","0","0.556","0.556","5","10","0.5","0","1","1","15","5.5","15.5","6.2","126.5","111.7"
"","Patrick Baldwin Jr.","Lac","","F","23.3","2","6.1","21.4","18.4","2","1","1","1","3","0.667","1","1.025","5","0.5","0","0","0","0.5","5.5","5","5.5","0","150.9","105.4"
"","Jahmai Mashack","Mem","*","G","23.3","21","17.5","14.6","16.1","13","0.538","62","0.5","42","0.286","0.471","0.478","5","1.9","1","1.1","0.5","1","6.9","6","7.9","4.8","93.7","108.6"
"","Asa Newell","Atl","*","F","20.4","40","11.1","17","12.3","25","0.56","80","0.663","69","0.391","0.628","0.628","5","2","0.5","0.4","0.3","0.5","7.1","5.5","7.6","6.2","119.5","105.7"
"","Josh Green","Cha","*","G","25.3","43","16.6","11","15.4","26","0.885","38","0.605","110","0.427","0.632","0.659","4.9","2","1","0.6","0.1","0.6","6.9","5.9","7.9","5.2","129.2","112.1"
"","Ethan Thompson","Ind","*","G","26.9","23","16.5","14.5","11.4","16","0.688","41","0.463","68","0.309","0.463","0.483","4.9","1.8","1.4","0.6","0.3","0.6","6.7","6.3","8.1","5.6","101.6","110.9"
"","RayJ Dennis","Ind","","G","25","13","12.9","22.6","16.2","9","0.889","34","0.294","38","0.316","0.389","0.421","4.9","1.6","2","0.2","0.3","1.1","6.5","6.9","8.5","7.8","90.7","114.4"
"","Branden Carlson","Okc","*","C","26.7","35","10.8","17.7","8.8","17","0.529","73","0.671","61","0.344","0.601","0.601","4.9","2.6","0.6","0.2","0.5","0.4","7.5","5.5","8.1","7.3","120.8","103.1"
"","Taylor Hendricks","Uta","","F","22.3","33","14.9","13.6","13.5","32","0.719","58","0.586","70","0.343","0.547","0.574","4.9","3","0.7","0.4","0.2","0.6","7.9","5.7","8.7","5.8","114.3","117.5"
"","Kevin Huerter","Det","*","G-F","27.5","9","14.5","15.6","6.2","3","1","21","0.667","24","0.167","0.444","0.464","4.8","2.1","1.6","0.6","0.6","0.3","6.9","6.3","8.4","7","109.9","107.6"
"","Baylor Scheierman","Bos","*","G","25.5","60","16.8","11.5","12.8","18","0.889","63","0.651","162","0.389","0.602","0.616","4.8","3.2","1.2","0.6","0.1","0.6","8","6","9.3","6.3","126.1","107.3"
"","Justin Edwards","Phi","*","F","22.2","48","14.3","14.4","11.7","24","0.917","72","0.514","124","0.363","0.533","0.559","4.8","1.4","1.2","0.7","0.2","0.5","6.2","6","7.4","5.6","114.7","109.4"
"","Tyrese Proctor","Cle","*","G","21.9","42","10.4","20.8","13.2","29","0.862","70","0.486","107","0.336","0.497","0.53","4.8","1","1.3","0.4","0","0.6","5.8","6.1","7.1","7.1","107.3","108.1"
"","Gabe Vincent","Lal","","G","29.7","29","19.3","11.5","8.4","11","0.909","27","0.259","103","0.369","0.492","0.512","4.8","0.9","1.3","0.5","0","0.4","5.7","6","7","3.7","109.5","112.7"
"","Vince Williams Jr.","Uta","*","G","25.5","6","13.9","18.2","19.9","4","0.5","10","0.4","18","0.333","0.464","0.47","4.7","3.2","2.7","0.3","0.3","1.2","7.8","7.3","10.5","9.9","102","113.9"
"","Tolu Smith","Det","*","F","25.6","7","12.6","15.9","19","18","0.722","21","0.476","0","0","0.476","0.571","4.7","4.7","0.9","0.3","0.7","0.7","9.4","5.6","10.3","8.6","124.2","95.4"
"","Mouhamed Gueye","Atl","*","F","23.3","62","15.6","13","10.9","59","0.627","142","0.577","104","0.288","0.516","0.535","4.7","3.7","0.9","0.8","0.5","0.5","8.4","5.6","9.3","6.4","116.6","106"
"","Malaki Branham","Was","*","F","22.8","28","9.8","18.3","14.1","34","0.824","54","0.537","37","0.378","0.549","0.604","4.6","1.6","0.8","0.4","0.1","0.5","6.1","5.4","7","7.4","118.9","118.9"
"","Jeremiah Robinson-Earl","Ind","","F","25.4","17","17.6","14","10.7","14","0.929","50","0.42","33","0.242","0.398","0.443","4.6","5.2","0.7","0.4","0.1","0.6","9.8","5.4","10.5","5.8","104.5","113"
"","Noah Penda","Orl","*","G-F","21.2","45","13.7","15.8","16.2","46","0.674","100","0.48","75","0.347","0.497","0.525","4.6","3.7","1.2","0.5","0.4","0.8","8.2","5.7","9.4","8","112.7","106.2"
"","Jase Richardson","Orl","*","G","20.4","44","11.5","17.1","12.8","37","0.73","92","0.543","71","0.352","0.537","0.563","4.6","1.2","1.2","0.3","0","0.5","5.8","5.8","7","6.5","113.8","109.6"
"","Adem Bona","Phi","*","F","23","56","17.2","10.8","20.1","83","0.675","162","0.605","5","0.4","0.605","0.634","4.6","4.3","0.4","0.4","1.2","0.8","8.9","5","9.3","4.6","125.4","106"
"","Lonzo Ball","Cle","*","G","28.4","35","20.8","13.7","22.8","21","0.667","29","0.448","147","0.272","0.415","0.432","4.6","4","3.9","1.3","0.3","1.5","8.6","8.5","12.5","8","100.3","109.7"
"","Jarred Vanderbilt","Lal","*","F","26.9","54","17.9","12.4","19.2","47","0.638","120","0.575","86","0.302","0.524","0.543","4.6","4.6","1.2","0.9","0.3","0.9","9.2","5.8","10.4","6.6","112.7","106.8"
"","Chaney Johnson","Bro","*","G-F","23.7","2","13.6","9.6","16.7","0","0","4","0.75","1","1","0.9","0.9","4.5","1","0.5","0.5","0.5","0.5","5.5","5","6","3.9","137.4","108.1"
"","Pete Nance","Mil","*","F","26.1","32","11.3","14.7","13.3","0","0","41","0.707","63","0.46","0.697","0.697","4.5","2","0.6","0.3","0.2","0.5","6.6","5.1","7.2","6.2","123.6","114"
"","Matisse Thybulle","Por","*","G-F","29","14","11.8","14.1","16.8","10","1","16","0.438","28","0.464","0.602","0.651","4.5","1.6","0.8","1.9","0.5","0.6","6.1","5.3","6.9","6.1","123.7","102.1"
"","Jeremiah Robinson-Earl","Dal","*","F","25.4","5","12.2","14.3","10.3","4","1","9","0.667","8","0.25","0.529","0.586","4.4","3","0.6","0.4","0","0.4","7.4","5","8","6.5","121.6","112.2"
"","Kam Jones","Ind","*","G","24","26","15.8","13.6","15.6","8","0.5","60","0.55","48","0.313","0.514","0.516","4.4","1.5","2.6","0.5","0","0.8","5.9","7","8.5","6.5","109.1","117.4"
"","Elijah Harkless","Uta","*","G","26.1","17","15","14.9","15.3","31","0.806","31","0.419","35","0.229","0.379","0.471","4.4","1.3","2","0.9","0.1","0.7","5.7","6.4","7.7","6","104.8","112.9"
"","DaRon Holmes II","Den","*","F","23.6","19","10.2","15.4","12.4","11","0.818","15","0.667","41","0.439","0.661","0.682","4.4","1.5","0.8","0","0.2","0.4","5.9","5.2","6.7","6.8","129.3","113.2"
"","Tyler Kolek","Nyk","*","G","25","55","12","18.6","18.8","18","0.667","125","0.48","104","0.356","0.504","0.513","4.4","1.7","2.8","0.3","0.1","1","6.1","7.2","8.9","9.2","110.3","107.7"
"","Craig Porter","Cle","*","G","26","57","17.7","12.5","18.9","36","0.556","150","0.487","82","0.354","0.502","0.51","4.4","3.3","3.3","0.9","0.6","0.9","7.8","7.7","11","8.2","119.6","111.5"
"","Grant Nelson","Bro","*","F","24","4","8.8","21.6","30.1","10","0.7","9","0.556","0","0","0.556","0.634","4.3","1.5","1.3","0.3","1.3","1","5.8","5.5","7","9.2","111.5","103.6"
"","Skal Labissiere","Was","*","F-C","30","3","12.5","12.2","9.1","0","0","5","1","5","0.2","0.65","0.65","4.3","3","1","0.7","0.3","0.3","7.3","5.3","8.3","7.5","135.4","116.1"
"","Terrence Shannon Jr.","Min","*","G-F","25.6","29","11.8","16.1","14.6","33","0.818","54","0.426","45","0.378","0.49","0.546","4.3","1","0.7","0.3","0","0.6","5.3","4.9","5.9","4.9","106.4","109.6"
"","Dereck Lively II","Dal","*","C","22.1","7","16.5","11.8","35.3","10","0.8","18","0.611","0","0","0.611","0.67","4.3","5.3","1.9","0.6","1.6","1.4","9.6","6.1","11.4","8.5","121.7","97.4"
"","Yanic Konan Niederhauser","Lac","*","C","23","41","10.3","15.7","18.6","62","0.758","95","0.663","5","0.2","0.645","0.691","4.3","2.9","0.3","0.1","0.7","0.6","7.1","4.6","7.4","6","130.7","102"
"","Jabari Walker","Phi","*","F","23.6","55","12.4","14.8","10.8","59","0.746","103","0.524","87","0.322","0.505","0.546","4.3","3.2","0.5","0.4","0.2","0.4","7.5","4.8","8","6.1","119.1","104.8"
"","Ochai Agbaji","Tor","","G","25.9","42","15.5","13.3","10","29","0.862","105","0.571","65","0.185","0.459","0.495","4.3","2.3","0.7","0.4","0.3","0.5","6.6","5","7.3","4.9","106.6","106.4"
"","Trayce Jackson-Davis","Gol","","F","26","36","11.4","14.7","15","52","0.558","101","0.584","1","1","0.593","0.601","4.2","3.1","0.9","0.4","0.5","0.5","7.3","5.1","8.2","8","126.8","107.6"
"","Dalton Knecht","Lal","*","F","24.9","48","10.6","17.4","10.3","20","0.7","73","0.644","101","0.307","0.537","0.55","4.2","1.4","0.3","0.2","0.2","0.4","5.6","4.5","5.9","4.6","105.4","112.7"
"","Mike Conley","Min","*","G","38.4","46","18.1","11.4","13.6","46","0.891","43","0.326","134","0.313","0.435","0.494","4.2","1.7","2.8","0.6","0.3","0.6","6","7.1","8.8","6","117.6","111.7"
"","Jeremy Sochan","San","","F","22.8","28","12.8","14.7","15.2","16","0.688","65","0.6","35","0.257","0.525","0.542","4.1","2.6","1","0.4","0.2","0.6","6.8","5.1","7.7","6.9","112.1","100.6"
"","DeAndre Jordan","Nor","*","C","37.6","10","16.3","9.9","27.9","15","0.6","23","0.696","0","0","0.696","0.693","4.1","6.4","0.8","0.3","0.8","0.9","10.5","4.9","11.3","6.8","130","110.1"
"","Ron Harper Jr.","Bos","*","G-F","25.9","19","11.9","14.6","5.3","2","0.5","13","0.615","58","0.345","0.535","0.536","4.1","1.8","0.7","0.2","0.4","0.2","5.8","4.8","6.6","5.8","123.2","112.6"
"","Liam McNeeley","Cha","*","F","20.4","28","12.2","14","12","31","0.806","30","0.4","58","0.379","0.511","0.566","4.1","2.1","0.8","0.2","0.1","0.4","6.3","4.9","7.1","6.2","119.9","107.8"
"","Hugo Gonzalez","Bos","*","G","20.1","60","15.4","12.1","13.3","24","0.458","113","0.593","101","0.337","0.551","0.55","4.1","3.5","0.6","0.6","0.3","0.6","7.7","4.7","8.3","5.3","113.5","102.6"
"","Nicolas Batum","Lac","*","G-F","37.2","62","18.4","9.6","14.4","11","0.818","9","0.444","198","0.399","0.592","0.6","4.1","2.5","0.9","0.7","0.3","0.6","6.6","5","7.5","4.6","113.7","111.9"
"","Kyle Anderson","Min","*","F-G","32.5","4","15.3","8","12","8","0.75","7","0.714","0","0","0.714","0.76","4","2.8","2.5","0.3","0.3","0.3","6.8","6.5","9.3","7.9","165","95.4"
"","Killian Hayes","Sac","*","G","24.6","9","16.2","16.5","7.4","6","0.833","27","0.296","23","0.217","0.31","0.342","4","1.9","3.4","0.6","0","0.4","5.9","7.4","9.3","7.3","94.6","113.7"
"","Gabe Vincent","Atl","*","G","29.7","8","12.4","15.3","8.2","1","1","6","0.833","27","0.259","0.47","0.478","4","0.9","1.9","0.5","0.1","0.4","4.9","5.9","6.8","6.1","111.9","109.5"
"","Mac McClung","Chi","*","G","27.2","1","13.5","24.9","12.5","0","0","5","0.4","2","0","0.286","0.286","4","1","1","0","1","1","5","5","6","4.7","59","108.8"
"","Oscar Tshiebwe","Uta","*","F-C","26.3","11","12.1","11.8","11","4","0.5","32","0.656","0","0","0.656","0.652","4","4.1","0.8","0.3","0.1","0.4","8.1","4.8","8.9","7.8","140.1","110.9"
"","Brandon Clarke","Mem","*","F","29.5","2","10.2","21.9","0","4","0.5","9","0.333","0","0","0.333","0.372","4","3","0.5","1","0","0","7","4.5","7.5","7.1","105.4","91.8"
"","Micah Peavy","Nor","*","G-F","24.7","51","13.8","14.6","5.8","17","0.765","135","0.474","90","0.233","0.424","0.439","4","1.8","0.9","0.6","0.1","0.3","5.8","4.9","6.7","5.4","103.9","113.1"
"","Tony Bradley","Ind","*","C-F","28.2","38","11","14.4","13.8","43","0.744","104","0.558","2","0.5","0.561","0.604","4","2.8","0.5","0.2","0.2","0.4","6.8","4.5","7.3","6.5","128.5","108"
"","Jericho Sims","Mil","*","C","27.4","49","17.6","8.6","30.9","29","0.586","107","0.841","0","0","0.841","0.822","4","5","1.1","0.2","0.3","1","9","5.1","10.1","6.4","139.6","109.9"
"","Anthony Gill","Was","*","F","33.4","37","12.8","11.9","16.6","21","0.714","80","0.688","25","0.32","0.638","0.652","4","2.4","0.9","0.4","0.3","0.6","6.4","4.9","7.3","6.4","125.6","117.4"
"","Tyus Jones","Dal","","G","29.8","8","16.6","12.6","12.7","2","0.5","15","0.6","19","0.211","0.441","0.444","3.9","1.1","3.8","0.4","0","0.6","5","7.6","8.8","6.1","108.7","117.4"
"","Doug McDermott","Sac","*","F","34.2","15","10.2","15.8","10.6","2","1","2","0.5","48","0.375","0.56","0.57","3.9","0.7","0.3","0.2","0.1","0.4","4.6","4.1","4.9","3.7","104.2","121.3"
"","Myron Gardner","Mia","*","F","24.8","34","9.8","14.6","9.1","23","0.739","49","0.551","51","0.412","0.585","0.608","3.9","3.1","1.1","0.5","0.1","0.3","7","5","8.1","9.7","134.5","95.3"
"","Caleb Martin","Dal","*","F","30.5","55","14.9","12.4","17.1","57","0.579","127","0.496","52","0.365","0.511","0.529","3.9","2.5","1.4","0.7","0.2","0.7","6.4","5.3","7.9","6.4","106.9","106.8"
"","Josh Minott","Bro","*","F","23.3","6","12.6","17.4","23.9","3","0.667","8","0.75","14","0.214","0.477","0.493","3.8","1.7","0.5","0.7","0.2","1.2","5.5","4.3","6","4.7","85.5","122.2"
"","Dalen Terry","Phi","*","F","23.7","6","12.1","14.7","8.6","5","0.6","10","0.4","11","0.364","0.476","0.496","3.8","1.7","2","0.7","0.2","0.3","5.5","5.8","7.5","7.8","118","113.8"
"","Zeke Nnaji","Den","*","F-C","25.2","46","12.3","13.9","15.4","44","0.773","89","0.584","48","0.271","0.522","0.566","3.8","2.7","0.5","0.3","0.5","0.5","6.5","4.4","7.1","5.6","112.6","108"
"","Jaylen Clark","Min","*","G","24.4","58","12.7","13","9.4","60","0.633","106","0.528","76","0.316","0.505","0.533","3.8","1.7","0.6","0.7","0.1","0.3","5.6","4.4","6.1","4.9","117","108.1"
"","Jordan Hawkins","Nor","*","G","23.9","42","12.3","17.1","11.3","18","0.778","78","0.346","102","0.294","0.4","0.42","3.8","1.5","0.6","0.2","0.2","0.5","5.3","4.4","5.9","4.9","88.8","120.6"
"","Ousmane Dieng","Okc","","F","22.8","27","10.9","14.9","8","6","1","42","0.476","49","0.367","0.516","0.534","3.7","1.6","1","0.1","0.3","0.3","5.3","4.7","6.3","6.6","114.4","106.5"
"","Moussa Cisse","Dal","*","C","23.5","34","12.5","13.6","23.1","66","0.439","83","0.59","0","0","0.59","0.567","3.7","4.9","0.2","0.4","1.1","0.7","8.6","4","8.9","4.9","116","100.8"
"","Clint Capela","Hou","*","C","31.8","59","12.3","13.6","14.2","56","0.625","181","0.503","0","0","0.503","0.528","3.7","4.6","0.6","0.5","0.8","0.5","8.3","4.3","8.9","7.1","122.4","107.1"
"","Carter Bryant","San","*","F","20.3","54","10.1","16.9","9.6","24","0.667","74","0.432","113","0.336","0.476","0.491","3.6","2.2","0.4","0.2","0.3","0.4","5.8","4","6.2","5.8","102.1","103.9"
"","Keaton Wallace","Atl","*","G","27","45","10.5","15.3","13.7","14","0.643","59","0.424","86","0.395","0.524","0.533","3.6","1.1","1.8","0.5","0.1","0.5","4.6","5.4","6.5","7.3","111","110.8"
"","A.J. Lawson","Tor","*","G","25.7","14","7.9","19.1","8.8","9","1","19","0.421","22","0.364","0.488","0.545","3.5","1.6","0.2","0.3","0.2","0.3","5.1","3.7","5.4","5.3","112.3","101.8"
"","Drew Timme","Lal","*","F","25.5","20","8.8","14.7","12.4","7","0.571","31","0.677","18","0.444","0.673","0.672","3.5","1.3","0.8","0.3","0","0.4","4.8","4.3","5.6","7","130.5","113.6"
"","Charles Bassey","Mem","","C-F","25.4","2","15.3","14","10.9","3","0.333","8","0.375","0","0","0.375","0.376","3.5","7.5","1","0.5","0.5","0.5","11","4.5","12","7.8","112.2","98.8"
"","Mohamed Diawara","Nyk","*","F","20.9","56","8.4","17.2","12.4","12","0.75","60","0.517","102","0.402","0.571","0.58","3.5","1.3","0.6","0.3","0.1","0.4","4.8","4.1","5.4","6.7","112.9","107"
"","Rob Dillingham","Min","","G","21.2","35","9.3","24.1","20.3","20","0.75","108","0.324","33","0.364","0.376","0.404","3.5","1.2","1.7","0.5","0.1","1","4.6","5.1","6.3","8.3","84.8","105.7"
"","Taelon Peter","Ind","*","G","24","28","10.7","16.6","15","10","0.5","11","0.636","85","0.306","0.479","0.483","3.5","1.3","1.1","0.5","0.1","0.6","4.8","4.5","5.8","6.4","95.2","114.9"
"","Dalen Terry","Chi","","F","23.7","34","11.1","14.6","17","17","0.529","56","0.464","46","0.413","0.534","0.539","3.5","1.9","1.3","0.6","0.3","0.6","5.4","4.7","6.6","7.4","109.3","110.8"
"","Christian Koloko","Atl","*","C","25.7","9","12.2","12.8","15.9","6","1","22","0.5","4","0.25","0.481","0.541","3.4","2.9","0.4","0.3","0.9","0.6","6.3","3.9","6.8","5.2","111.5","98.6"
"","Rasheer Fleming","Pho","*","F","21.7","39","9.3","16.7","9.5","17","0.588","48","0.5","75","0.333","0.5","0.51","3.4","1.9","0.2","0.3","0.2","0.3","5.3","3.6","5.5","4.7","111.1","110.2"
"","Keshad Johnson","Mia","*","F","24.7","24","7.6","19.5","12.6","21","0.667","40","0.5","29","0.31","0.486","0.518","3.4","1.8","0.1","0.3","0.3","0.4","5.2","3.5","5.3","4.5","103.9","104.8"
"","Isaiah Stevens","Sac","*","G","25.4","3","14.3","10.7","21.2","4","1","6","0.5","1","0","0.429","0.571","3.3","1","3.3","1.7","0","0.7","4.3","6.7","7.7","6.2","131.2","118.4"
"","Dorian Finney-Smith","Hou","*","F","32.9","29","17.3","10.4","14.7","5","1","25","0.48","79","0.278","0.433","0.447","3.3","2.7","0.9","0.4","0.1","0.6","5.9","4.1","6.8","4.6","102.4","106.8"
"","Kelly Olynyk","San","*","F-C","34.9","36","8.9","16","20.1","30","0.667","45","0.711","42","0.262","0.557","0.584","3.3","1.8","1.1","0.4","0.1","0.6","5","4.4","6.2","8.4","116.5","101.8"
"","James Wiseman","Ind","*","C","24.9","4","14.6","11.5","32.9","2","0.5","10","0.6","0","0","0.6","0.597","3.3","2","0.8","0","0.3","1.3","5.3","4","6","4.8","99.1","108"
"","Tyrese Martin","Phi","*","F","27","5","12.3","18.4","26.9","2","0","7","0.714","12","0.167","0.421","0.402","3.2","1.2","1.6","0.2","0.4","1.4","4.4","4.8","6","6","75.6","119.3"
"","Nikola Topic","Okc","*","G","20.6","5","10.5","22.2","40.7","0","0","11","0.455","5","0.4","0.5","0.5","3.2","1.6","2","0","0","2.2","4.8","5.2","6.8","8.3","77.9","106.9"
"","Koby Brea","Pho","*","G","23.3","5","4.6","18.1","0","2","1","2","0.5","7","0.571","0.778","0.81","3.2","0.4","0.6","0","0","0","3.6","3.8","4.2","8","173.8","122.8"
"","Nick Richards","Pho","","C","28.3","28","9.1","18.1","26","28","0.679","71","0.493","0","0","0.493","0.534","3.2","3.3","0.3","0.1","0.5","0.9","6.4","3.5","6.7","6.5","100.8","99.1"
"","Dwight Powell","Dal","*","F-C","34.6","48","14","8.8","28.5","82","0.671","72","0.667","3","0.333","0.66","0.693","3.2","3.8","0.9","0.5","0.4","0.6","7","4.1","7.9","6.3","136.4","103"
"","John Konchar","Mem","","G","30","30","14.5","8.7","16.4","13","0.615","32","0.75","39","0.333","0.613","0.619","3.2","3.1","1.3","1","0.4","0.5","6.2","4.5","7.6","6.5","126.7","110.1"
"","Larry Nance Jr.","Cle","*","F-C","33.2","28","12.4","13.4","12","5","0.6","45","0.422","50","0.32","0.453","0.458","3.2","2.5","0.9","0.5","0.1","0.5","5.7","4.1","6.6","6.2","104.9","102.9"
"","Miles Kelly","Dal","*","G","23.1","14","9.6","15.9","11.9","1","1","11","0.545","33","0.303","0.477","0.484","3.1","1.7","0.9","0.3","0.1","0.4","4.8","3.9","5.6","7","100.7","109.2"
"","Mark Sears","Mil","*","G","24.1","7","3.7","34.8","23.1","8","0.75","5","0.4","8","0.5","0.615","0.666","3.1","0.3","0.3","0","0","0.6","3.4","3.4","3.7","7.1","0","0"
"","Cam Christie","Lac","*","G","20.6","44","9.3","16.7","12.6","44","0.75","72","0.458","46","0.261","0.432","0.491","3.1","1.5","0.6","0.3","0.1","0.4","4.6","3.7","5.2","6.1","104.3","115.9"
"","Haywood Highsmith","Pho","*","F","29.3","3","11.4","9.8","0","2","0.5","2","0.5","5","0.4","0.571","0.571","3","2","1","1","0","0","5","4","6","6.4","143.7","106.6"
"","Dalano Banton","Lac","","F","26.3","2","4.9","22.9","20","0","0","4","0.75","0","0","0.75","0.75","3","0.5","1","0.5","0","0.5","3.5","4","4.5","9.3","135","120.5"
"","AJ Johnson","Dal","*","G","21.3","11","10","17.8","11.8","10","0.9","20","0.45","17","0.118","0.324","0.399","3","1.1","0.9","0.1","0","0.5","4.1","3.9","5","5.7","86.6","118.1"
"","Kobe Bufkin","Lal","*","G","22.5","11","8.2","22","9.4","8","1","18","0.444","20","0.15","0.329","0.397","3","0.8","0.5","0.2","0.3","0.4","3.8","3.5","4.3","5.2","85","114.3"
"","Emanuel Miller","Chi","*","F","25.7","5","6.6","17.7","0","2","0.5","7","0.571","6","0.333","0.538","0.54","3","0.6","0.8","0.4","0","0","3.6","3.8","4.4","6.8","123.9","115.4"
"","Chris Livingston","Cle","*","F","22.4","3","5.8","17.9","0","1","1","4","1","3","0","0.571","0.605","3","1","0.3","0.3","0","0","4","3.3","4.3","6.7","129","91"
"","Antonio Reeves","Cha","*","G","23.3","9","7.3","13.4","4.8","0","0","7","0.429","13","0.538","0.675","0.675","3","0.9","0.2","0.1","0","0.1","3.9","3.2","4.1","4.5","135.2","115.7"
"","Monte Morris","Ind","*","G","30.7","6","10.8","15.5","9","4","0.5","12","0.417","8","0.25","0.4","0.414","3","1.2","1.5","0.2","0.2","0.3","4.2","4.5","5.7","6.5","96.6","119.4"
"","Pat Connaughton","Cha","*","G","33.2","32","7.7","15.5","10.7","16","0.688","29","0.552","46","0.391","0.573","0.591","3","1.6","0.5","0.3","0","0.3","4.6","3.6","5.1","7","122.6","114.3"
"","Riley Minix","San","","F","25.5","3","2.8","30.5","0","0","0","3","1","3","0.333","0.75","0.75","3","0.7","0.3","0.3","0","0","3.7","3.3","4","12.2","0","0"
"","Jamison Battle","Tor","*","F","24.8","48","8.5","13.3","12.2","9","0.667","44","0.636","64","0.422","0.634","0.639","3","1.5","0.4","0.1","0","0.3","4.5","3.3","4.8","5.7","118.7","110"
"","Tyus Jones","Orl","","G","29.8","48","15.7","9.8","8.1","6","1","56","0.429","102","0.294","0.437","0.448","3","1.1","2.4","0.7","0.1","0.3","4.1","5.4","6.5","5.1","113.6","115.4"
"","John Konchar","Uta","*","G","30","13","24","7.7","16.3","7","0.571","17","0.647","29","0.138","0.37","0.387","2.9","4.2","2","2.2","0.8","0.7","7.1","4.9","9.1","4.8","103.5","115.3"
"","Yuki Kawamura","Chi","*","G","24.9","7","12.6","12.2","21.3","6","1","4","0.25","14","0.286","0.389","0.484","2.9","2.6","3.7","0.9","0","0.7","5.4","6.6","9.1","9.6","124.9","111.3"
"","Kevon Looney","Nor","*","F","30.1","18","13.9","10.6","13.3","8","0.625","43","0.512","9","0.111","0.452","0.468","2.9","5.3","1.4","0.3","0.5","0.4","8.2","4.3","9.6","8","126.5","106.9"
"","Duop Reath","Por","*","C","29.7","32","8.1","13.1","8.6","6","0.833","19","0.526","55","0.418","0.601","0.613","2.9","1.2","0.3","0.2","0.3","0.2","4.1","3.3","4.4","5","124.7","110.2"
"","Rayan Rupert","Por","","G-F","21.8","48","12","12.7","16","14","0.643","76","0.408","71","0.31","0.435","0.447","2.9","1.8","0.7","0.6","0","0.6","4.6","3.6","5.4","5.1","94.6","109"
"","Joan Beringer","Min","*","F","19.3","31","6.7","15.3","11.7","17","0.647","60","0.667","0","0","0.667","0.674","2.9","1.8","0.3","0.1","0.4","0.3","4.8","3.2","5","6.9","138.5","101.4"
"","David Jones Garcia","San","*","F","24.3","11","6.2","20.3","16.5","6","0.5","20","0.5","5","0.6","0.58","0.579","2.9","1.2","1.6","0.5","0.1","0.5","4.1","4.5","5.7","11.4","124","102.6"
"","Kobe Brown","Lac","","F","26.2","34","8.7","16.6","15.1","26","0.808","35","0.571","49","0.265","0.47","0.524","2.9","1.6","0.8","0.3","0.1","0.4","4.5","3.7","5.3","7.1","112.3","114.7"
"","Chris Paul","Lac","*","G","40.9","16","14.2","14.2","22.2","2","0.5","26","0.308","30","0.333","0.411","0.413","2.9","1.8","3.3","0.7","0","1","4.7","6.3","8","7.3","101.6","109.2"
"","Trey Alexander","Nor","*","G","22.9","5","8.3","10","10","0","0","6","0.667","3","0.667","0.778","0.778","2.8","0.8","1","0.2","0.2","0.2","3.6","3.8","4.6","6.3","148.5","114.3"
"","Julian Phillips","Chi","","F","22.3","35","9.5","12.6","7.3","11","0.818","39","0.538","49","0.327","0.511","0.533","2.8","1.3","0.2","0.5","0.2","0.2","4.1","3","4.3","3.8","113.7","111.3"
"","Chaz Lanier","Det","*","G","24.2","23","8.1","14.7","3.1","5","1","14","0.429","48","0.333","0.484","0.506","2.8","0.8","0.6","0.2","0","0.1","3.7","3.4","4.3","5.4","120.2","112.6"
